Name,Quantity,Component
"U1",1," Arduino Uno R3"
"SERVO1",1,"Positional Micro Servo"
"PIR1",1," PIR Sensor"
"PIEZO1",1," Piezo"
"R1",1,"220 Ω Resistor"
"D1",1,"Red LED"
"U2",1,"MCP23008-based, 32 (0x20) LCD 16 x 2 (I2C)"
